filename,x,y
Frame_20250627_085326_110_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,506.93,400.36
Frame_20250627_085551_112_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,545.62,353.34
Frame_20250627_085707_114_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,629.88,398.83
Frame_20250627_085918_116_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,730.74,403.75
Frame_20250627_090226_118_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,508.81,451.84
Frame_20250627_090317_120_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,576.74,409.69
Frame_20250627_090947_122_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,611.25,358.14
Frame_20250627_091044_124_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,740.3,372.33
Frame_20250627_091158_126_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,622.55,368.7
Frame_20250627_091426_128_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,488.17,335.27
Frame_20250627_091630_130_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,797.58,412.31
Frame_20250627_091721_132_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,655.78,335.48
Frame_20250627_092706_134_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,740.98,329.36
Frame_20250627_092803_136_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,809.71,408.56
Frame_20250627_092856_138_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,710.89,328.02
Frame_20250627_092945_140_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,529.56,433.07
Frame_20250627_093035_142_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,577.8,408.92
Frame_20250627_093146_144_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,587.31,331.71
Frame_20250627_093232_146_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,565.64,331.05
Frame_20250627_093354_148_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,534.2,374.25
Frame_20250627_093445_150_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,786.33,371.8
Frame_20250627_093539_152_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,850.18,329.14
Frame_20250627_093722_154_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,570.25,384.52
